loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/rejected,logps/chosen,logits/rejected,logits/chosen,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6137,4.900339603424072,2.556095160739513e-05,-0.4780098497867584,-0.7371715903282166,0.6812499761581421,0.25916168093681335,-154.3712615966797,-121.4345932006836,-0.2620750963687897,-0.17669887840747833,0.544,170,,,,,
0.6482,5.212356090545654,2.2759017277414166e-05,-0.5474156141281128,-0.7247297167778015,0.6312500238418579,0.17731408774852753,-130.24148559570312,-109.19108581542969,-0.30632901191711426,-0.20878303050994873,0.576,180,,,,,
0.6116,4.485262870788574,1.9985264605418183e-05,-0.5314010977745056,-0.8217177391052246,0.612500011920929,0.29031655192375183,-134.3846893310547,-112.91719818115234,-0.3188084065914154,-0.2632575035095215,0.608,190,,,,,
0.664,5.499856948852539,1.7274575140626318e-05,-0.5159234404563904,-0.7092090845108032,0.5874999761581421,0.19328561425209045,-130.9815673828125,-108.8453140258789,-0.2871508002281189,-0.23657527565956116,0.64,200,,,,,
0.651,6.825155258178711,1.466103737583699e-05,-0.5179527997970581,-0.7198973894119263,0.612500011920929,0.20194458961486816,-132.42828369140625,-130.82545471191406,-0.24438276886940002,-0.21312133967876434,0.672,210,,,,,
0.624,5.233644962310791,1.217751806485235e-05,-0.42409151792526245,-0.7029315829277039,0.6312500238418579,0.2788400650024414,-140.61058044433594,-116.37904357910156,-0.25170040130615234,-0.21044869720935822,0.704,220,,,,,
0.6262,5.244567394256592,9.855248903979506e-06,-0.48799461126327515,-0.7811936140060425,0.625,0.2931990623474121,-136.0709228515625,-117.9541244506836,-0.2861312925815582,-0.22921939194202423,0.736,230,,,,,
0.6311,4.224372386932373,7.723433775328388e-06,-0.4736137390136719,-0.7336521148681641,0.606249988079071,0.2600384056568146,-130.83676147460938,-106.28987884521484,-0.22417020797729492,-0.1805564910173416,0.768,240,,,,,
0.5937,5.274679183959961,5.808881491049723e-06,-0.4424397349357605,-0.7641693353652954,0.731249988079071,0.3217296004295349,-146.4208221435547,-109.09242248535156,-0.3328392505645752,-0.17630711197853088,0.8,250,,,,,
0.6339,6.1269330978393555,4.135668656967437e-06,-0.5234626531600952,-0.7405968308448792,0.668749988079071,0.2171342670917511,-135.74037170410156,-109.33390045166016,-0.3868923485279083,-0.25996217131614685,0.832,260,,,,,
0.6323,5.835099220275879,2.7248368952908053e-06,-0.48327741026878357,-0.7546901702880859,0.65625,0.2714127004146576,-135.5130615234375,-110.9616470336914,-0.2925933301448822,-0.2142849713563919,0.864,270,,,,,
0.6099,7.981759548187256,1.59412823400657e-06,-0.519478440284729,-0.8174427151679993,0.6937500238418579,0.2979642450809479,-125.28076171875,-109.76286315917969,-0.27507543563842773,-0.18212006986141205,0.896,280,,,,,
0.5989,5.629444122314453,7.577619905828282e-07,-0.5296832323074341,-0.84849613904953,0.699999988079071,0.31881290674209595,-151.20016479492188,-115.8966064453125,-0.3228302299976349,-0.22934618592262268,0.928,290,,,,,
0.6155,4.834807395935059,2.262559558016325e-07,-0.5083171129226685,-0.7575147747993469,0.675000011920929,0.24919764697551727,-115.70814514160156,-113.93843078613281,-0.2650436758995056,-0.273634672164917,0.96,300,,,,,
0.5992,5.289804935455322,6.294126437336734e-09,-0.5451212525367737,-0.8669296503067017,0.6625000238418579,0.32180848717689514,-140.0723876953125,-117.51812744140625,-0.3408602178096771,-0.24004840850830078,0.992,310,,,,,
,,,,,,,,,,,0.9984,312,25091.4733,0.199,0.012,0.0,0.6377150148917468
